packages/native/npm/darwin-arm64         |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/darwin-x64           |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-arm64-gnu      |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-arm64-musl     |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["linux"],"libc":["musl"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-x64-gnu        |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/native/npm/linux-x64-musl       |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["musl"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/darwin-arm64     |  WARN  Unsupported platform: wanted: {"cpu":["arm64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/darwin-x64       |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["darwin"],"libc":["any"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})
packages/verter-tsc/npm/linux-x64-gnu    |  WARN  Unsupported platform: wanted: {"cpu":["x64"],"os":["linux"],"libc":["glibc"]} (current: {"os":"win32","cpu":"x64","libc":"unknown"})

> @verter/benchmark@0.0.1 bench:meta:ui D:\dev\personal\verter\packages\benchmark
> node --expose-gc --import tsx src/meta-ui-bench.ts "--" "--scenarios=repo_first_pass" "--hard-timeout-ms=60000"

Benchmarking 179 nuxt-ui components from edf9af6e03aeea31d1fb5b8a1b8f2aee7cbbcfa3.
[expected] 120/179 src/runtime/components/prose/callout/Tip.vue baseline-ready outcome=success latency=2348.89ms
[expected] 121/179 src/runtime/components/prose/callout/Warning.vue baseline-ready outcome=success latency=2348.49ms
[expected] 122/179 src/runtime/components/prose/Card.vue baseline-ready outcome=success latency=2364.01ms
[expected] 123/179 src/runtime/components/prose/CardGroup.vue baseline-ready outcome=success latency=2106.02ms
[expected] 124/179 src/runtime/components/prose/Code.vue baseline-ready outcome=success latency=2113.55ms
[expected] 125/179 src/runtime/components/prose/CodeCollapse.vue baseline-ready outcome=success latency=2357.06ms
[expected] 126/179 src/runtime/components/prose/CodeGroup.vue baseline-ready outcome=success latency=2343.25ms
[expected] 127/179 src/runtime/components/prose/CodeIcon.vue baseline-ready outcome=success latency=2286.80ms
[expected] 128/179 src/runtime/components/prose/CodePreview.vue baseline-ready outcome=success latency=2117.82ms
[expected] 129/179 src/runtime/components/prose/CodeTree.vue baseline-ready outcome=success latency=2316.37ms
[expected] 130/179 src/runtime/components/prose/Collapsible.vue baseline-ready outcome=success latency=2334.53ms
[expected] 131/179 src/runtime/components/prose/Em.vue baseline-ready outcome=success latency=2130.83ms
[expected] 132/179 src/runtime/components/prose/Field.vue baseline-ready outcome=success latency=2295.35ms
[expected] 133/179 src/runtime/components/prose/FieldGroup.vue baseline-ready outcome=success latency=2281.15ms
[expected] 134/179 src/runtime/components/prose/H1.vue baseline-ready outcome=success latency=2133.68ms
[expected] 135/179 src/runtime/components/prose/H2.vue baseline-ready outcome=success latency=2287.36ms
[expected] 136/179 src/runtime/components/prose/H3.vue baseline-ready outcome=success latency=2344.28ms
[expected] 137/179 src/runtime/components/prose/H4.vue baseline-ready outcome=success latency=2155.73ms
[expected] 138/179 src/runtime/components/prose/Hr.vue baseline-ready outcome=success latency=2132.87ms
[expected] 139/179 src/runtime/components/prose/Icon.vue baseline-ready outcome=success latency=2322.20ms
[expected] 140/179 src/runtime/components/prose/Img.vue baseline-ready outcome=success latency=2545.27ms
